# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam	/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam	/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam	/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam	/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam	/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam
SAOUHSC_00682	NC_007795.1	669462	669950	+	489	898	186	941	1678	1158	2116
SAOUHSC_00683	NC_007795.1	670049	670738	-	690	302	100	295	1295	441	1714
SAOUHSC_00684	NC_007795.1	670865	671308	+	444	64	29	89	177	110	217
SAOUHSC_00685	NC_007795.1	671375	671770	+	396	602	161	550	1939	950	2709
SAOUHSC_00686	NC_007795.1	671908	672207	+	300	1684	616	1150	6312	1883	6760
SAOUHSC_00687	NC_007795.1	672287	672829	+	543	264	174	254	836	347	834
SAOUHSC_00688	NC_007795.1	672925	673491	-	567	4652	10930	2567	18226	4467	13697
SAOUHSC_00689	NC_007795.1	673493	673951	-	459	2589	3412	1700	11071	2651	10694
SAOUHSC_00690	NC_007795.1	673954	674637	-	684	4077	3324	2758	20764	4579	21417
SAOUHSC_00691	NC_007795.1	674809	675684	-	876	1926	1254	1834	3593	2373	6237
SAOUHSC_00692	NC_007795.1	675903	677534	+	1632	4283	1518	4015	6808	5916	8274
SAOUHSC_00693	NC_007795.1	677531	679204	+	1674	6733	1000	5879	9468	8405	9775
SAOUHSC_00694	NC_007795.1	679331	679774	-	444	79855	10028	63866	81253	77056	75409
SAOUHSC_00695	NC_007795.1	680001	680927	+	927	983	275	793	1791	1279	1403
SAOUHSC_00696	NC_007795.1	681030	681938	+	909	2058	650	1979	3228	2752	4625
SAOUHSC_00697	NC_007795.1	681973	682260	+	288	178	47	371	484	378	562
SAOUHSC_00698	NC_007795.1	682543	684096	+	1554	2188	673	2522	2440	3085	3117
SAOUHSC_00699	NC_007795.1	684182	685555	+	1374	5770	1906	6337	6897	7384	9805
SAOUHSC_00700	NC_007795.1	685710	686057	-	348	601	96	658	853	935	763
SAOUHSC_00701	NC_007795.1	685991	686608	-	618	309	128	644	791	525	1225
SAOUHSC_00702	NC_007795.1	686794	687216	-	423	366	34	411	607	493	482
SAOUHSC_00703	NC_007795.1	687425	688591	+	1167	1812	398	1869	1999	2093	2426
SAOUHSC_00704	NC_007795.1	688884	689336	+	453	463	91	695	1160	630	1459
SAOUHSC_00705	NC_007795.1	689510	689992	+	483	318	98	388	434	485	930
SAOUHSC_00706	NC_007795.1	690242	691006	+	765	6323	819	6136	2764	8404	5860
SAOUHSC_00707	NC_007795.1	691003	691923	+	921	10417	6551	8353	4301	11595	14912
SAOUHSC_00708	NC_007795.1	691929	693887	+	1959	39887	18159	33265	29827	47521	66938
SAOUHSC_00710	NC_007795.1	694195	695376	+	1182	863	379	636	1441	1185	1890
SAOUHSC_00711	NC_007795.1	695597	696946	+	1350	4526	1652	3417	16340	5415	17439
SAOUHSC_00712	NC_007795.1	697168	698007	+	840	545	1336	276	3470	610	5044
SAOUHSC_00713	NC_007795.1	698139	699122	+	984	1712	1799	1240	9921	2031	10814
SAOUHSC_00714	NC_007795.1	699194	700249	-	1056	33731	1764	27316	35277	48178	40016
SAOUHSC_00715	NC_007795.1	700249	700935	-	687	22064	1833	17499	27595	30852	31338
SAOUHSC_00716	NC_007795.1	700910	701383	-	474	11149	997	9078	18377	15912	15550
SAOUHSC_00717	NC_007795.1	701725	702165	-	441	16748	467	12922	24121	24593	23525
SAOUHSC_00718	NC_007795.1	702445	703029	-	585	1202	203	2404	1390	2234	1475
SAOUHSC_00719	NC_007795.1	703128	703841	-	714	6424	1274	7578	3081	8354	4397
SAOUHSC_00720	NC_007795.1	703845	704264	-	420	2526	133	2799	1202	3016	1871
SAOUHSC_00721	NC_007795.1	704266	704934	-	669	2531	137	3189	1047	3267	1889
SAOUHSC_00722	NC_007795.1	705285	705878	+	594	188	57	184	232	262	228
SAOUHSC_00723	NC_007795.1	705862	707013	+	1152	630	259	708	648	928	924
SAOUHSC_00724	NC_007795.1	707013	707621	+	609	567	95	619	589	722	893
SAOUHSC_00725	NC_007795.1	707687	707893	+	207	269	25	318	544	312	555
SAOUHSC_00726	NC_007795.1	707981	708691	+	711	1297	248	1455	2057	1724	2761
SAOUHSC_00727	NC_007795.1	708675	709679	+	1005	2303	795	2582	3105	3039	3782
SAOUHSC_00728	NC_007795.1	710153	712093	+	1941	170290	6215	213600	75229	251698	61461
SAOUHSC_00729	NC_007795.1	712364	714247	+	1884	11954	2328	13627	9762	17968	14142
SAOUHSC_00730	NC_007795.1	714259	716040	+	1782	19789	2172	25241	14311	32324	21384
SAOUHSC_00731	NC_007795.1	716262	717239	+	978	1760	2801	1045	5255	1869	7323
SAOUHSC_00732	NC_007795.1	717232	718746	+	1515	4035	1619	3244	8768	5392	11510
SAOUHSC_00733	NC_007795.1	718986	720044	+	1059	539	1046	396	6390	611	8415
SAOUHSC_00734	NC_007795.1	720395	720937	+	543	1292	480	1241	4904	1912	6308
SAOUHSC_00735	NC_007795.1	721050	721148	+	99	199	143	203	486	278	748
SAOUHSC_00736	NC_007795.1	721561	722478	-	918	10349	3387	6438	19158	9738	17903
SAOUHSC_00737	NC_007795.1	722569	722670	+	102	9	4	12	16	10	25
SAOUHSC_00738	NC_007795.1	722748	724253	-	1506	6307	9059	4053	40529	6675	41729
SAOUHSC_00739	NC_007795.1	724594	725094	-	501	1974	497	2095	1481	2470	1931
SAOUHSC_00740	NC_007795.1	725114	725848	-	735	2616	172	2763	2385	3338	3194
SAOUHSC_00741	NC_007795.1	726781	727179	+	399	2798	1780	2586	10501	3851	12965
SAOUHSC_00742	NC_007795.1	727082	729247	+	2166	25731	12651	23851	92785	37451	110319
SAOUHSC_00743	NC_007795.1	729365	730336	+	972	12755	5623	11776	51845	18313	59142
SAOUHSC_00744	NC_007795.1	730469	730573	+	105	14	14	20	15	37	11
SAOUHSC_00745	NC_007795.1	730850	731005	+	156	0	4	5	1	6	3
SAOUHSC_00746	NC_007795.1	731044	732015	+	972	684	54	484	443	720	496
SAOUHSC_00747	NC_007795.1	732002	732958	+	957	433	3	472	197	578	230
SAOUHSC_00748	NC_007795.1	732955	733716	+	762	542	17	511	174	715	199
SAOUHSC_00749	NC_007795.1	733835	734863	+	1029	1235	93	1218	585	1601	868
SAOUHSC_00751	NC_007795.1	735180	735494	-	315	999	185	942	1475	1267	1692
SAOUHSC_00752	NC_007795.1	735512	736435	-	924	1405	556	1303	2403	2012	2354
SAOUHSC_00753	NC_007795.1	736562	737080	-	519	200	21	176	394	223	517
SAOUHSC_00754	NC_007795.1	737200	738078	+	879	1131	97	1383	1306	1870	1679
SAOUHSC_00755	NC_007795.1	738232	738552	+	321	8211	327	6611	4181	9269	4782
SAOUHSC_00756	NC_007795.1	738977	740101	+	1125	4583	1392	3349	3786	4699	4836
SAOUHSC_00757	NC_007795.1	740290	741516	-	1227	6500	2024	6712	6496	9683	7764
SAOUHSC_00758	NC_007795.1	741530	742024	-	495	339	96	325	496	535	660
SAOUHSC_00759	NC_007795.1	742042	742803	-	762	256	57	232	527	412	533
SAOUHSC_00760	NC_007795.1	742999	744069	-	1071	19859	320	26941	4394	25979	3980
SAOUHSC_00762	NC_007795.1	744387	745442	+	1056	2050	664	2283	4053	2856	5940
SAOUHSC_00763	NC_007795.1	745612	746253	-	642	1459	891	1033	2779	2055	2881
SAOUHSC_00764	NC_007795.1	746397	746780	+	384	3375	331	3775	3928	4976	2490
SAOUHSC_00765	NC_007795.1	747288	748226	+	939	623	9	633	229	662	195
SAOUHSC_00766	NC_007795.1	748219	748893	+	675	503	67	512	350	676	430
SAOUHSC_00767	NC_007795.1	748954	749526	+	573	17488	7089	10711	50999	20414	68740
SAOUHSC_00769	NC_007795.1	749940	752471	+	2532	32222	14871	25537	44094	41680	54878
SAOUHSC_00770	NC_007795.1	752513	752617	+	105	62	42	82	102	87	126
SAOUHSC_00771	NC_007795.1	753021	753896	+	876	2663	2154	2839	4237	3875	6773
SAOUHSC_00772	NC_007795.1	754050	754157	+	108	7	1	6	1	7	5
SAOUHSC_00773	NC_007795.1	754305	755144	+	840	970	51	1051	419	1269	610
SAOUHSC_00774	NC_007795.1	755318	755968	+	651	293	146	346	1892	613	2954
SAOUHSC_00775	NC_007795.1	755965	756201	+	237	86	23	97	520	191	594
SAOUHSC_00776	NC_007795.1	756470	757501	+	1032	4203	458	4293	2389	5795	2560
SAOUHSC_00778	NC_007795.1	757511	758527	+	1017	0	0	0	0	0	0
SAOUHSC_00779	NC_007795.1	758680	759654	+	975	6130	606	6589	3849	8633	4198
SAOUHSC_00780	NC_007795.1	759662	762508	+	2847	25612	5580	28978	15907	35082	15564
SAOUHSC_00781	NC_007795.1	763170	764102	+	933	1895	1594	1092	6335	1925	9499
SAOUHSC_00782	NC_007795.1	764108	764947	+	840	707	915	439	2801	734	4600
SAOUHSC_00783	NC_007795.1	764955	765440	+	486	467	318	335	1612	521	2527
SAOUHSC_00784	NC_007795.1	765448	766887	+	1440	1909	394	1469	4911	2356	5838
SAOUHSC_00785	NC_007795.1	766954	767889	+	936	7347	7290	4060	15512	9057	20750
SAOUHSC_00786	NC_007795.1	768263	768688	-	426	149	119	91	150	209	143
SAOUHSC_00787	NC_007795.1	768883	769794	+	912	3576	898	2249	5357	3561	8903
SAOUHSC_00788	NC_007795.1	769791	770786	+	996	12340	16595	7161	26937	11184	35526
SAOUHSC_00789	NC_007795.1	770896	771840	+	945	15930	8150	10626	27925	16557	38963
SAOUHSC_T0005	NC_007795.1	772155	772226	-	72	32	14	22	184	38	168
SAOUHSC_00790	NC_007795.1	772413	773000	+	588	14848	1380	11070	13484	18711	10543
SAOUHSC_00792	NC_007795.1	773243	774145	-	903	2641	4406	1961	14443	2834	15545
SAOUHSC_00793	NC_007795.1	774848	775477	+	630	6729	15417	4630	24300	6224	44455
SAOUHSC_00794	NC_007795.1	776119	777132	+	1014	30429	33439	24578	101825	38597	74443
SAOUHSC_00795	NC_007795.1	777185	778195	+	1011	47746	93835	34629	300822	57751	266924
SAOUHSC_00796	NC_007795.1	778334	779524	+	1191	10545	21428	8363	85441	14324	81018
SAOUHSC_00797	NC_007795.1	779646	780407	+	762	11601	22242	8865	78221	13994	89165
SAOUHSC_00798	NC_007795.1	780410	781927	+	1518	21978	86796	17274	146931	28476	154296
SAOUHSC_00799	NC_007795.1	782057	783361	+	1305	31154	104080	21424	153747	39621	148762
SAOUHSC_00800	NC_007795.1	783701	784159	+	459	3146	249	4176	6091	4195	7550
SAOUHSC_00801	NC_007795.1	784226	784459	+	234	8964	5813	7113	8310	9368	13524
SAOUHSC_00802	NC_007795.1	784575	785315	+	741	17010	1992	14691	9156	16247	12617
SAOUHSC_00803	NC_007795.1	785349	787721	+	2373	74358	11343	62660	49150	71160	56245
SAOUHSC_00804	NC_007795.1	787743	788207	+	465	15561	3400	13432	10718	15606	14441
SAOUHSC_00806	NC_007795.1	789529	789852	-	324	730	46	1309	330	1247	533
SAOUHSC_00807	NC_007795.1	789868	790014	-	147	489	51	636	205	860	243
SAOUHSC_00808	NC_007795.1	790206	790934	-	729	1318	84	1813	852	2130	933
SAOUHSC_00809	NC_007795.1	791370	791525	+	156	10	1	6	6	9	3
SAOUHSC_00810	NC_007795.1	791533	792054	+	522	205	133	146	494	171	900
SAOUHSC_00811	NC_007795.1	792193	792723	+	531	757	489	654	1570	800	2936
SAOUHSC_00812	NC_007795.1	792986	795769	+	2784	117857	130584	73939	122772	115355	112153
SAOUHSC_00816	NC_007795.1	797866	798888	+	1023	502	163	412	1811	686	1530
SAOUHSC_00817	NC_007795.1	799223	799693	+	471	360	257	222	951	438	858
SAOUHSC_00818	NC_007795.1	800034	800720	+	687	114	5	160	46	254	56
SAOUHSC_00819	NC_007795.1	801077	801277	+	201	38229	14237	33079	91446	52905	61377
SAOUHSC_00820	NC_007795.1	801773	801991	-	219	1595	276	1331	3057	1790	2726
SAOUHSC_00821	NC_007795.1	802053	802337	-	285	895	206	644	1789	893	1629
SAOUHSC_00822	NC_007795.1	802425	802994	-	570	316	312	221	881	397	1174
SAOUHSC_00823	NC_007795.1	803182	803370	-	189	728	225	909	2273	953	1922
SAOUHSC_00824	NC_007795.1	803399	803659	-	261	678	313	752	2070	911	2725
SAOUHSC_00825	NC_007795.1	804000	804203	+	204	687	41	705	440	909	401
SAOUHSC_00826	NC_007795.1	804200	804436	-	237	4443	943	2817	14950	4192	14473
SAOUHSC_00827	NC_007795.1	804682	805242	+	561	5363	449	6416	1550	7094	1307
SAOUHSC_00828	NC_007795.1	805315	805932	-	618	1262	537	1351	6099	1682	5572
SAOUHSC_00830	NC_007795.1	806087	806581	-	495	6900	463	6814	7139	8423	6303
SAOUHSC_00831	NC_007795.1	806980	807402	-	423	2842	3523	1735	6408	2529	7502
SAOUHSC_00832	NC_007795.1	807550	808266	+	717	501	35	464	485	679	565
SAOUHSC_00833	NC_007795.1	808349	808888	+	540	6863	1387	5819	4278	8634	6504
SAOUHSC_00834	NC_007795.1	809038	809358	-	321	1234	837	741	2715	1651	2232
SAOUHSC_00835	NC_007795.1	809502	809858	+	357	365	129	220	3154	474	5463
SAOUHSC_00836	NC_007795.1	810016	810396	+	381	3545	1044	2594	11954	4234	16603
SAOUHSC_00837	NC_007795.1	810460	810573	+	114	52	7	52	74	48	150
SAOUHSC_00838	NC_007795.1	810575	811453	+	879	1478	112	1040	1151	1436	1139
SAOUHSC_00839	NC_007795.1	811872	811985	+	114	178	54	121	144	196	144
SAOUHSC_00840	NC_007795.1	812195	812581	+	387	1052	219	741	1574	1023	1378
SAOUHSC_00841	NC_007795.1	812574	812870	+	297	609	157	501	1064	544	1210
SAOUHSC_00842	NC_007795.1	813120	814145	+	1026	10424	11149	12966	30740	13353	54170
SAOUHSC_00843	NC_007795.1	814138	814833	+	696	5613	3873	6534	10866	7121	20438
SAOUHSC_00844	NC_007795.1	814851	815672	+	822	11067	3095	15723	16652	15439	37119
SAOUHSC_00845	NC_007795.1	816026	816220	+	195	54930	5855	36959	122786	69299	129951
SAOUHSC_00846	NC_007795.1	816453	817304	-	852	799	81	976	469	975	360
SAOUHSC_00847	NC_007795.1	817632	818393	+	762	57016	6105	42658	26723	55022	26397
SAOUHSC_00848	NC_007795.1	818491	819798	+	1308	98826	8528	79659	44213	105868	37152
SAOUHSC_00849	NC_007795.1	819904	821154	+	1251	109743	19329	89897	45446	117384	47199
SAOUHSC_00850	NC_007795.1	821144	821608	+	465	49999	7114	41101	18440	51867	21082
SAOUHSC_00851	NC_007795.1	821759	823156	+	1398	113042	9542	97875	49858	129589	61821
SAOUHSC_00852	NC_007795.1	823343	823480	+	138	46	5	46	14	47	19
SAOUHSC_00853	NC_007795.1	823486	823800	-	315	52	17	79	295	81	180
SAOUHSC_00854	NC_007795.1	824165	825205	+	1041	1627	1405	1163	6025	1783	6949
SAOUHSC_00855	NC_007795.1	825219	826286	+	1068	1033	2351	705	3034	1121	4028
SAOUHSC_00857	NC_007795.1	826353	826451	+	99	50	47	39	46	41	81
SAOUHSC_00858	NC_007795.1	826499	827347	+	849	771	127	520	1440	929	1716
SAOUHSC_00859	NC_007795.1	827360	828187	+	828	452	232	389	954	626	1101
SAOUHSC_00860	NC_007795.1	828214	829533	+	1320	1542	373	1100	2648	1929	3263
SAOUHSC_00861	NC_007795.1	829617	830534	+	918	9689	4082	7089	17576	10284	18960
SAOUHSC_00862	NC_007795.1	830664	831047	+	384	643	140	465	1353	718	1369
SAOUHSC_00863	NC_007795.1	831126	831392	-	267	690	46	584	878	908	1010
SAOUHSC_00864	NC_007795.1	831490	831924	+	435	297	46	213	899	309	1070
SAOUHSC_00865	NC_007795.1	831924	832703	+	780	723	337	644	1982	937	2031
SAOUHSC_00866	NC_007795.1	832811	833695	+	885	1659	644	1355	2893	2076	3465
SAOUHSC_00867	NC_007795.1	833949	834059	+	111	1	22	2	5	1	13
SAOUHSC_00868	NC_007795.1	834107	834259	+	153	346	188	422	2250	341	8187
SAOUHSC_00869	NC_007795.1	834275	835732	+	1458	11018	3362	8812	35581	12427	53922
SAOUHSC_00870	NC_007795.1	835729	836943	+	1215	5733	649	5674	14780	7162	14784
SAOUHSC_00871	NC_007795.1	836961	837197	+	237	1314	179	1668	3087	1686	5520
SAOUHSC_00872	NC_007795.1	837194	838369	+	1176	9545	1037	9021	18377	12351	19875
SAOUHSC_00873	NC_007795.1	838632	838874	-	243	4408	987	4478	6250	7027	5376
SAOUHSC_00874	NC_007795.1	838975	839298	+	324	566	51	873	447	1106	451
SAOUHSC_00875	NC_007795.1	839357	840421	-	1065	8513	3321	7054	8832	10925	8234
SAOUHSC_00876	NC_007795.1	840738	840974	+	237	882	453	584	1901	1212	2975
SAOUHSC_00877	NC_007795.1	840987	841346	+	360	1438	800	881	2946	1793	3091
SAOUHSC_00878	NC_007795.1	841800	843008	+	1209	13284	6330	10612	25307	17253	27265
SAOUHSC_00879	NC_007795.1	843139	844614	+	1476	1401	476	937	2505	1868	3564
SAOUHSC_00880	NC_007795.1	845025	846341	+	1317	6764	1061	5228	9835	7802	6258
SAOUHSC_00881	NC_007795.1	846360	846734	+	375	4074	765	3171	4564	4821	4747
SAOUHSC_00882	NC_007795.1	846790	847944	-	1155	4266	63	3453	258	8202	408
SAOUHSC_00883	NC_007795.1	848193	848549	-	357	1624	456	1692	3706	2481	4511
SAOUHSC_00884	NC_007795.1	848527	848820	-	294	680	742	523	1432	807	1437
SAOUHSC_00885	NC_007795.1	848820	849299	-	480	2493	807	2372	5447	2958	9268
SAOUHSC_00886	NC_007795.1	849301	850797	-	1497	6363	2384	5073	13566	7305	16119
SAOUHSC_00887	NC_007795.1	850790	851119	-	330	1526	505	1171	3427	1746	5208
SAOUHSC_00888	NC_007795.1	851131	851559	-	429	1423	499	1196	3747	1716	4458
SAOUHSC_00889	NC_007795.1	851552	853957	-	2406	7238	4061	5154	21527	8140	28281
SAOUHSC_00890	NC_007795.1	854088	854471	-	384	96	49	70	418	117	516
SAOUHSC_00891	NC_007795.1	854535	855128	+	594	3277	2586	2592	5074	4510	5236
SAOUHSC_00892	NC_007795.1	855577	855921	+	345	5357	2170	3658	6979	5835	8766
SAOUHSC_00893	NC_007795.1	856283	857410	+	1128	1056	1745	595	3179	1280	5501
SAOUHSC_00894	NC_007795.1	857718	858908	+	1191	5724	2737	2865	15186	5237	19464
SAOUHSC_00895	NC_007795.1	859017	860261	+	1245	17023	7490	10727	24166	17258	31436
SAOUHSC_00896	NC_007795.1	860487	860678	+	192	1786	909	1047	840	1984	845
SAOUHSC_00897	NC_007795.1	860764	861693	-	930	723	105	901	630	974	939
SAOUHSC_00898	NC_007795.1	861935	863314	-	1380	29731	569	43587	1137	32930	7383
SAOUHSC_00899	NC_007795.1	863304	864509	-	1206	14923	1307	21639	940	16616	7070
SAOUHSC_00900	NC_007795.1	864860	866191	+	1332	6790	3184	5227	21540	9456	21533
SAOUHSC_00901	NC_007795.1	866516	867091	+	576	1307	391	1223	4024	1682	7004
SAOUHSC_00902	NC_007795.1	867096	867620	+	525	2024	1123	1714	3707	2230	5678
SAOUHSC_00903	NC_007795.1	867744	868211	+	468	2347	268	1676	2749	2698	3564
SAOUHSC_00904	NC_007795.1	868371	871847	+	3477	4764	877	3929	5849	5414	7296
SAOUHSC_00905	NC_007795.1	871848	875501	+	3654	10210	2372	9408	10734	12558	12812
SAOUHSC_00906	NC_007795.1	875667	876569	+	903	7571	7518	5715	20044	9382	25542
SAOUHSC_00907	NC_007795.1	876898	877287	+	390	959	488	928	1394	1429	1498
SAOUHSC_00908	NC_007795.1	877458	878774	-	1317	5327	4773	3346	11728	5995	13178
SAOUHSC_00909	NC_007795.1	878826	879650	-	825	1939	700	1274	3671	2236	3999
SAOUHSC_00910	NC_007795.1	879806	880072	+	267	3081	914	1910	5815	2882	7443
SAOUHSC_00911	NC_007795.1	880619	882433	+	1815	1503	37	1686	533	2602	524
SAOUHSC_00912	NC_007795.1	882636	885245	+	2610	361272	1753	242582	59105	370583	18970
SAOUHSC_00913	NC_007795.1	885304	886173	-	870	36	1	46	51	71	54
SAOUHSC_00914	NC_007795.1	886283	887428	+	1146	877	3	594	48	601	36
SAOUHSC_00915	NC_007795.1	887412	888053	+	642	447	7	385	72	307	82
SAOUHSC_00916	NC_007795.1	888046	889164	+	1119	205	10	191	93	200	73
SAOUHSC_00917	NC_007795.1	889148	889663	+	516	263	20	159	140	193	178
SAOUHSC_00919	NC_007795.1	890665	890850	-	186	1275	122	984	3807	1612	2753
SAOUHSC_00920	NC_007795.1	891145	892086	+	942	1589	3215	1526	4057	1937	7644
SAOUHSC_00921	NC_007795.1	892098	893342	+	1245	6759	16662	5967	17764	8377	27707
SAOUHSC_00922	NC_007795.1	893397	893768	-	372	25	6	27	230	63	168
SAOUHSC_00923	NC_007795.1	894011	894937	+	927	391	463	359	5168	482	4801
SAOUHSC_00924	NC_007795.1	894937	896007	+	1071	579	1098	547	4829	678	5566
SAOUHSC_00925	NC_007795.1	896024	897106	+	1083	1317	3093	1342	7920	1410	11618
SAOUHSC_00926	NC_007795.1	897096	898037	+	942	1269	3037	1678	8287	1691	12463
SAOUHSC_00927	NC_007795.1	898056	899711	+	1656	4862	6599	6327	22671	7137	30735
SAOUHSC_00928	NC_007795.1	899923	901638	+	1716	261	108	272	448	492	712
SAOUHSC_00929	NC_007795.1	901689	902675	+	987	99	19	87	155	147	253
SAOUHSC_00930	NC_007795.1	902678	903658	+	981	102	53	90	135	175	239
SAOUHSC_00931	NC_007795.1	903651	904613	+	963	86	20	125	151	188	237
SAOUHSC_00932	NC_007795.1	904625	905506	+	882	333	125	367	359	582	490
SAOUHSC_00933	NC_007795.1	905548	906537	-	990	2652	533	3210	5072	3921	6377
SAOUHSC_00934	NC_007795.1	906832	907227	+	396	306469	36559	282992	203503	377054	252732
SAOUHSC_00935	NC_007795.1	907598	908317	+	720	29779	3338	19185	31494	34135	39584
SAOUHSC_00936	NC_007795.1	908438	909424	+	987	194	6	202	52	222	73
SAOUHSC_00937	NC_007795.1	909472	911280	+	1809	826	822	703	5900	1234	8246
SAOUHSC_00938	NC_007795.1	911740	912546	-	807	2488	466	2124	3529	3333	4255
SAOUHSC_00939	NC_007795.1	912569	912886	-	318	919	193	747	2161	1280	2577
SAOUHSC_00940	NC_007795.1	913038	913631	-	594	335	71	226	1246	461	956
SAOUHSC_00941	NC_007795.1	913817	914164	+	348	1187	121	976	2071	1447	2984
SAOUHSC_00942	NC_007795.1	914181	914816	+	636	3306	964	2515	4797	3877	6804
SAOUHSC_00943	NC_007795.1	914833	915642	+	810	5595	1531	4375	7056	6744	7921
SAOUHSC_00944	NC_007795.1	915639	916493	+	855	1612	464	1496	2320	2091	3274
SAOUHSC_00945	NC_007795.1	916514	917899	+	1386	3074	1147	2635	3860	3428	6252
SAOUHSC_00946	NC_007795.1	917909	919753	+	1845	4939	1208	4622	7446	6004	8783
SAOUHSC_00947	NC_007795.1	920031	920801	+	771	8647	1611	7315	13874	11071	13728
SAOUHSC_00948	NC_007795.1	920996	922081	-	1086	3146	665	2839	12009	3866	11991
SAOUHSC_00949	NC_007795.1	922423	923991	+	1569	783	2313	425	17230	654	19863
SAOUHSC_00950	NC_007795.1	924133	924891	+	759	623	253	528	2318	726	2349
SAOUHSC_00951	NC_007795.1	925085	925594	+	510	7018	1082	6395	13970	9897	15276
SAOUHSC_00952	NC_007795.1	925707	926915	-	1209	4357	253	4447	3350	6615	2927
SAOUHSC_00953	NC_007795.1	926875	928050	-	1176	5293	606	4810	5786	7184	6702
SAOUHSC_00954	NC_007795.1	928483	929964	+	1482	3887	1661	3756	4790	4702	6173
SAOUHSC_00955	NC_007795.1	929948	930208	+	261	623	198	917	749	893	1430
SAOUHSC_00956	NC_007795.1	930208	931770	+	1563	7887	2195	9366	7628	10746	9825
SAOUHSC_00957	NC_007795.1	932072	932875	+	804	3252	4106	2326	8363	3647	6949
SAOUHSC_00958	NC_007795.1	933094	935418	+	2325	1746	262	1796	2120	2376	2990
SAOUHSC_00959	NC_007795.1	935435	936793	+	1359	5291	538	5872	4573	7202	5661
SAOUHSC_00960	NC_007795.1	936932	938443	+	1512	1580	720	1673	4285	2495	4746
SAOUHSC_T00049	NC_007795.1	938623	938711	-	89	213	302	107	163	274	11
SAOUHSC_T0008	NC_007795.1	938714	938788	-	75	232	70	259	104	294	44
SAOUHSC_00961	NC_007795.1	938930	939460	-	531	9743	52	17176	524	15701	539
SAOUHSC_00962	NC_007795.1	939709	939927	+	219	2979	13464	1616	40329	2803	64017
SAOUHSC_00963	NC_007795.1	940008	940994	-	987	1002	218	839	1870	1381	3311
SAOUHSC_00964	NC_007795.1	941193	941369	+	177	1567	78	1227	2131	1765	2339
SAOUHSC_00965	NC_007795.1	941384	941986	+	603	4391	680	5006	7747	6111	6051
SAOUHSC_00966	NC_007795.1	942257	942364	+	108	1746	1522	988	1986	2138	616
SAOUHSC_00967	NC_007795.1	942903	943004	+	102	0	1	2	2	2	9
SAOUHSC_00968	NC_007795.1	943330	945294	+	1965	193	119	234	882	290	917
SAOUHSC_00969	NC_007795.1	945297	945617	+	321	124	26	192	217	197	285
SAOUHSC_00970	NC_007795.1	945614	946255	+	642	342	49	380	379	532	295
SAOUHSC_00971	NC_007795.1	946343	946633	-	291	526	38	1001	1006	984	279
SAOUHSC_00972	NC_007795.1	946912	947199	+	288	76	21	79	380	110	361
SAOUHSC_00973	NC_007795.1	947205	948687	+	1483	1612	162	1751	2474	2480	2450
SAOUHSC_00975	NC_007795.1	948776	949132	-	357	508	98	482	4082	746	3533
SAOUHSC_00976	NC_007795.1	949716	950579	+	864	664	57	694	287	888	269
SAOUHSC_00977	NC_007795.1	950625	950756	-	132	487	210	276	2328	498	2825
SAOUHSC_00978	NC_007795.1	950820	951110	-	291	59	8	63	154	71	115
SAOUHSC_00979	NC_007795.1	951200	951751	+	552	185	66	127	620	279	673
SAOUHSC_00980	NC_007795.1	951802	952740	-	939	5085	478	6792	3962	8171	4363
SAOUHSC_00981	NC_007795.1	952891	952995	+	105	209	20	156	148	289	108
SAOUHSC_00982	NC_007795.1	953072	954283	+	1212	1783	121	1561	1325	2545	1414
SAOUHSC_00983	NC_007795.1	954270	955943	+	1674	5402	2100	3991	6646	7229	8494
SAOUHSC_00984	NC_007795.1	955930	956733	+	804	3263	657	3041	3667	4862	4204
